Methods called,Number of times(Original),Number of times(Modified),Modified - Original,Percentage(Gain/Loss),Number of times(Original-Normalized),Number of times(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
"public void org.jboss.netty.buffer.AbstractChannelBuffer.setZero(int|int)",15,59,44,"293.33%",0.034403669724770644,0.02551903114186851,-0.008884638582902133,"-25.82%"
"public void org.jboss.netty.buffer.AbstractChannelBuffer.markWriterIndex()",18,67,49,"272.22%",0.04128440366972477,0.02897923875432526,-0.012305164915399514,"-29.81%"
"public void org.jboss.netty.buffer.AbstractChannelBuffer.writeBytes(byte[])",13,84,71,"546.15%",0.02981651376146789,0.03633217993079585,0.006515666169327958,"21.85%"
"public void org.jboss.netty.buffer.AbstractChannelBuffer.writeBytes(org.jboss.netty.buffer.ChannelBuffer)",7,1726,1719,"24557.14%",0.016055045871559634,0.7465397923875432,0.7304847465159836,"4549.88%"
"public void org.jboss.netty.buffer.AbstractChannelBuffer.writeBytes(org.jboss.netty.buffer.ChannelBuffer|int)",1,86,85,"8500.0%",0.0022935779816513763,0.037197231833910036,0.03490365385225866,"1521.8%"
"public java.nio.ByteBuffer[] org.jboss.netty.buffer.AbstractChannelBuffer.toByteBuffers()",78,59,-19,"-24.36%",0.17889908256880735,0.02551903114186851,-0.15338005142693883,"-85.74%"
"public java.nio.ByteBuffer[] org.jboss.netty.buffer.AbstractChannelBuffer.toByteBuffers(int|int)",5,45,40,"800.0%",0.011467889908256881,0.019463667820069204,0.007995777911812323,"69.72%"
"public void org.jboss.netty.buffer.DynamicChannelBuffer.writeMedium(int)",7,131,124,"1771.43%",0.016055045871559634,0.05666089965397924,0.040605853782419606,"252.92%"
"public boolean org.jboss.netty.buffer.AbstractChannelBuffer.equals(java.lang.Object)",85,27,-58,"-68.24%",0.19495412844036697,0.011678200692041523,-0.18327592774832543,"-94.01%"
"public char org.jboss.netty.buffer.AbstractChannelBuffer.getChar(int)",16,38,22,"137.5%",0.03669724770642202,0.01643598615916955,-0.02026126154725247,"-55.21%"
"public org.jboss.netty.buffer.ChannelBufferFactory org.jboss.netty.buffer.DynamicChannelBuffer.factory()",22,670,648,"2945.45%",0.05045871559633028,0.2897923875432526,0.23933367194692232,"474.32%"
"public void org.jboss.netty.buffer.DynamicChannelBuffer.setInt(int|int)",6,19,13,"216.67%",0.013761467889908258,0.008217993079584774,-0.005543474810323483,"-40.28%"
"public long org.jboss.netty.buffer.AbstractChannelBuffer.readLong()",7,21,14,"200.0%",0.016055045871559634,0.009083044982698962,-0.006972000888860672,"-43.43%"
"public boolean org.jboss.netty.buffer.AbstractChannelBuffer.writable()",29,37,8,"27.59%",0.06651376146788991,0.016003460207612456,-0.05051030126027746,"-75.94%"
