Methods called,Number of times(Original),Number of times(Modified),Modified - Original,Percentage(Gain/Loss),Number of times(Original-Normalized),Number of times(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
"public static synchronized javax.net.SocketFactory javax.net.ssl.SSLSocketFactory.getDefault()",0,545,545,"INF%",0.0,0.05235350624399616,0.05235350624399616,"INF%"
"public abstract java.nio.ByteBuffer java.nio.ByteBuffer.putDouble(double)",0,3077,3077,"INF%",0.0,0.295581171950048,0.295581171950048,"INF%"
"public static final int java.util.regex.Pattern.CASE_INSENSITIVE",0,1,1,"INF%",0.0,9.606147934678194e-05,9.606147934678194e-05,"INF%"
"public static boolean java.util.regex.Pattern.matches(java.lang.String|java.lang.CharSequence)",0,433,433,"INF%",0.0,0.041594620557156584,0.041594620557156584,"INF%"
"public java.nio.ByteBuffer java.nio.ByteBuffer.get(byte[]|int|int)",0,2819,2819,"INF%",0.0,0.2707973102785783,0.2707973102785783,"INF%"
"public abstract byte java.nio.ByteBuffer.get()",0,417,417,"INF%",0.0,0.04005763688760807,0.04005763688760807,"INF%"
"public abstract byte java.nio.ByteBuffer.get(int)",0,857,857,"INF%",0.0,0.08232468780019213,0.08232468780019213,"INF%"
"public java.nio.ByteBuffer java.nio.ByteBuffer.get(byte[])",0,1129,1129,"INF%",0.0,0.10845341018251681,0.10845341018251681,"INF%"
"public java.util.regex.Matcher java.util.regex.Pattern.matcher(java.lang.CharSequence)",0,1369,1369,"INF%",0.0,0.1315081652257445,0.1315081652257445,"INF%"
"public abstract java.nio.ByteBuffer java.nio.ByteBuffer.duplicate()",0,897,897,"INF%",0.0,0.0861671469740634,0.0861671469740634,"INF%"
"public abstract boolean java.nio.ByteBuffer.isDirect()",0,817,817,"INF%",0.0,0.07848222862632084,0.07848222862632084,"INF%"
"public static final int java.util.regex.Pattern.UNIX_LINES",0,1,1,"INF%",0.0,9.606147934678194e-05,9.606147934678194e-05,"INF%"
"public java.lang.String java.nio.ByteBuffer.toString()",0,693,693,"INF%",0.0,0.06657060518731989,0.06657060518731989,"INF%"
"public boolean java.nio.ByteBuffer.equals(java.lang.Object)",0,1020,1020,"INF%",0.0,0.09798270893371758,0.09798270893371758,"INF%"
"public abstract long java.nio.ByteBuffer.getLong()",0,3107,3107,"INF%",0.0,0.29846301633045147,0.29846301633045147,"INF%"
"public abstract long java.nio.ByteBuffer.getLong(int)",0,197,197,"INF%",0.0,0.018924111431316042,0.018924111431316042,"INF%"
"public java.lang.String java.util.regex.Pattern.toString()",0,118,118,"INF%",0.0,0.011335254562920269,0.011335254562920269,"INF%"
"public abstract boolean java.nio.Buffer.isReadOnly()",0,506,506,"INF%",0.0,0.04860710854947166,0.04860710854947166,"INF%"
"public static final int java.util.regex.Pattern.COMMENTS",0,1,1,"INF%",0.0,9.606147934678194e-05,9.606147934678194e-05,"INF%"
"public final int java.nio.Buffer.capacity()",0,327,327,"INF%",0.0,0.0314121037463977,0.0314121037463977,"INF%"
