Methods called,Number of times(Original),Number of times(Modified),Modified - Original,Percentage(Gain/Loss),Number of times(Original-Normalized),Number of times(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
"java.lang.String[0]",457,12,-445,"-97.37%",0.024850462207721587,0.007402837754472548,-0.017447624453249037,"-70.21%"
"public java.lang.String org.antlr.v4.codegen.Target.encodeIntAsCharEscape(int)",6315,802,-5513,"-87.3%",0.3433931484502447,0.4947563232572486,0.1513631748070039,"44.08%"
"public org.antlr.v4.codegen.CodeGenerator org.antlr.v4.codegen.Target.getCodeGenerator()",5475,552,-4923,"-89.92%",0.29771615008156604,0.3405305367057372,0.04281438662417114,"14.38%"
"public boolean org.antlr.v4.codegen.target.Python3Target.wantsBaseVisitor()",7168,257,-6911,"-96.41%",0.3897770527460576,0.15854410857495374,-0.23123294417110388,"-59.32%"
"public java.lang.String org.antlr.v4.codegen.Target.getImplicitSetLabel(java.lang.String)",613,451,-162,"-26.43%",0.03333333333333333,0.2782233189389266,0.24488998560559327,"734.67%"
"org.antlr.v4.codegen.target.Python3Target()",43297,18,-43279,"-99.96%",2.3543773790103315,0.011104256631708822,-2.3432731223786227,"-99.53%"
"public boolean org.antlr.v4.codegen.Target.templatesExist()",5232,106,-5126,"-97.97%",0.28450244698205546,0.06539173349784085,-0.21911071348421463,"-77.02%"
"org.antlr.v4.codegen.target.Python3Target(org.antlr.v4.codegen.CodeGenerator)",664,2693,2029,"305.57%",0.03610657966286025,1.661320172732881,1.6252135930700207,"4501.16%"
"int[1]",0,1,1,"INF%",0.0,0.0006169031462060457,0.0006169031462060457,"INF%"
"java.lang.String[5]",0,28,28,"INF%",0.0,0.01727328809376928,0.01727328809376928,"INF%"
"java.lang.String[4]",0,148,148,"INF%",0.0,0.09130166563849476,0.09130166563849476,"INF%"
"java.lang.String[9]",0,162,162,"INF%",0.0,0.0999383096853794,0.0999383096853794,"INF%"
