Classes of objects created,Number of objects created(Original),Number of objects created(Modified),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original),Number of unique objects manipulated(Modified),Modified - Original,Percentage(Gain/Loss),Number of objects created(Original-Normalized),Number of objects created(Modified-Normalized),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original-Normalized),Number of unique objects manipulated(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
class [[Lorg.junit.rules.TestRule;,5,0,-5,"-INF%",3,0,-3,"-INF%",0.00018584597085935178,0.0,-0.00018584597085935178,"-INF%",0.00011150758251561107,0.0,-0.00011150758251561107,"-INF%"
class [[S,91,15,-76,"-83.52%",6,4,-2,"-33.33%",0.0033823966696402024,0.000563888575617458,-0.0028185080940227444,"-83.33%",0.00022301516503122213,0.00015037028683132213,-7.26448781999e-05,"-32.57%"
class [[[[S,3,1,-2,"-66.67%",3,1,-2,"-66.67%",0.00011150758251561107,3.7592571707830533e-05,-7.391501080778053e-05,"-66.29%",0.00011150758251561107,3.7592571707830533e-05,-7.391501080778053e-05,"-66.29%"
class [Ljava.util.Set;,10,2,-8,"-80.0%",4,1,-3,"-75.0%",0.00037169194171870356,7.518514341566107e-05,-0.00029650679830304247,"-79.77%",0.0001486767766874814,3.7592571707830533e-05,-0.00011108420497965087,"-74.72%"
class [[[[Ljava.lang.String;,14,3,-11,"-78.57%",2,2,0,"0.0%",0.0005203687184061849,0.0001127777151234916,-0.0004075910032826933,"-78.33%",7.43383883437407e-05,7.518514341566107e-05,8.467550719203651e-07,"1.14%"
class [Ljava.lang.Iterable;,166,26,-140,"-84.34%",3,3,0,"0.0%",0.006170086232530478,0.000977406864403594,-0.005192679368126884,"-84.16%",0.00011150758251561107,0.0001127777151234916,1.270132607880534e-06,"1.14%"
class [[Lorg.apache.lucene.util.TestRuleIgnoreAfterMaxFailures;,1,8,7,"700.0%",1,8,7,"700.0%",3.716919417187035e-05,0.00030074057366264427,0.0002635713794907739,"709.11%",3.716919417187035e-05,0.00030074057366264427,0.0002635713794907739,"709.11%"
class [[Ljava.util.Locale;,3,7,4,"133.33%",2,4,2,"100.0%",0.00011150758251561107,0.00026314800195481375,0.0001516404194392027,"135.99%",7.43383883437407e-05,0.00015037028683132213,7.603189848758143e-05,"102.28%"
class [D,6577,3794,-2783,"-42.31%",20,17,-3,"-15.0%",0.2444617900683913,0.14262621705950904,-0.10183557300888227,"-41.66%",0.0007433838834374071,0.0006390737190331191,-0.00010431016440428807,"-14.03%"
class [[Lorg.apache.lucene.util.LuceneTestCase;,0,5,5,"INF%",0,5,5,"INF%",0.0,0.00018796285853915265,0.00018796285853915265,"INF%",0.0,0.00018796285853915265,0.00018796285853915265,"INF%"
class [[Ljava.lang.Class;,0,26,26,"INF%",0,2,2,"INF%",0.0,0.000977406864403594,0.000977406864403594,"INF%",0.0,7.518514341566107e-05,7.518514341566107e-05,"INF%"
class [Lorg.apache.lucene.util.LuceneTestCase;,0,38,38,"INF%",0,37,37,"INF%",0.0,0.0014285177248975602,0.0014285177248975602,"INF%",0.0,0.0013909251531897297,0.0013909251531897297,"INF%"
class [[Ljava.lang.reflect.GenericDeclaration;,0,3,3,"INF%",0,2,2,"INF%",0.0,0.0001127777151234916,0.0001127777151234916,"INF%",0.0,7.518514341566107e-05,7.518514341566107e-05,"INF%"
class [[[Lorg.apache.lucene.search.QueryCachingPolicy;,0,1,1,"INF%",0,1,1,"INF%",0.0,3.7592571707830533e-05,3.7592571707830533e-05,"INF%",0.0,3.7592571707830533e-05,3.7592571707830533e-05,"INF%"
class [Ljava.lang.Cloneable;,0,1,1,"INF%",0,1,1,"INF%",0.0,3.7592571707830533e-05,3.7592571707830533e-05,"INF%",0.0,3.7592571707830533e-05,3.7592571707830533e-05,"INF%"
class [[[Ljava.lang.Class;,0,4,4,"INF%",0,2,2,"INF%",0.0,0.00015037028683132213,0.00015037028683132213,"INF%",0.0,7.518514341566107e-05,7.518514341566107e-05,"INF%"
class [[[[Lorg.apache.lucene.store.MockDirectoryWrapper$Throttling;,0,9,9,"INF%",0,1,1,"INF%",0.0,0.0003383331453704748,0.0003383331453704748,"INF%",0.0,3.7592571707830533e-05,3.7592571707830533e-05,"INF%"
class [[[F,0,5,5,"INF%",0,5,5,"INF%",0.0,0.00018796285853915265,0.00018796285853915265,"INF%",0.0,0.00018796285853915265,0.00018796285853915265,"INF%"
