Methods called,Number of times(Original),Number of times(Modified),Modified - Original,Percentage(Gain/Loss),Number of times(Original-Normalized),Number of times(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
"public static java.lang.String org.elasticsearch.test.ElasticsearchTestCase.randomRealisticUnicodeOfLengthBetween(int|int)",103,100,-3,"-2.91%",0.003804247460757156,0.003719822936428226,-8.442452432893014e-05,"-2.22%"
"public void org.elasticsearch.index.query.SimpleIndexQueryParserTests.testRange2Query() throws java.io.IOException",113,109,-4,"-3.54%",0.0041735918744228995,0.004054607000706766,-0.00011898487371613323,"-2.85%"
"public static final java.lang.String org.apache.lucene.util.LuceneTestCase.TEST_LINE_DOCS_FILE",1,1,0,"0.0%",3.6934441366574334e-05,3.719822936428226e-05,2.6378799770792504e-07,"0.71%"
"public static boolean org.apache.lucene.util.LuceneTestCase.slowFileExists(org.apache.lucene.store.Directory|java.lang.String) throws java.io.IOException",15,15,0,"0.0%",0.000554016620498615,0.0005579734404642339,3.956819965618896e-06,"0.71%"
"public void org.elasticsearch.index.query.SimpleIndexQueryParserTests.testGeoDistanceFilter9() throws java.io.IOException",112,119,7,"6.25%",0.004136657433056325,0.004426589294349589,0.0002899318612932635,"7.01%"
"public static org.apache.lucene.store.MockDirectoryWrapper org.apache.lucene.util.LuceneTestCase.newMockFSDirectory(java.nio.file.Path)",1,1,0,"0.0%",3.6934441366574334e-05,3.719822936428226e-05,2.6378799770792504e-07,"0.71%"
"public static org.apache.lucene.store.MockDirectoryWrapper org.apache.lucene.util.LuceneTestCase.newMockFSDirectory(java.nio.file.Path|org.apache.lucene.store.LockFactory)",1,1,0,"0.0%",3.6934441366574334e-05,3.719822936428226e-05,2.6378799770792504e-07,"0.71%"
"randoop.operation.UncheckedCast@741e1dd4",2,0,-2,"-INF%",7.386888273314867e-05,0.0,-7.386888273314867e-05,"-INF%"
"public void org.elasticsearch.index.query.SimpleIndexQueryParserTests.testEmptyBooleanQueryInsideFQuery() throws java.lang.Exception",101,105,4,"3.96%",0.0037303785780240075,0.0039058140832496373,0.00017543550522562982,"4.7%"
"public void org.elasticsearch.index.query.SimpleIndexQueryParserTests.testSpanMultiTermTermRangeQuery() throws java.io.IOException",100,112,12,"12.0%",0.003693444136657433,0.004166201688799613,0.00047275755214218037,"12.8%"
"public static void org.elasticsearch.test.ElasticsearchTestCase.restoreFileSystem() throws java.lang.Exception",1,1,0,"0.0%",3.6934441366574334e-05,3.719822936428226e-05,2.6378799770792504e-07,"0.71%"
"public void org.elasticsearch.index.query.SimpleIndexQueryParserTests.testTermsQuery() throws java.io.IOException",114,93,-21,"-18.42%",0.004210526315789474,0.00345943533087825,-0.0007510909849112236,"-17.84%"
"public void org.elasticsearch.index.query.SimpleIndexQueryParserTests.testGeoDistanceFilter3() throws java.io.IOException",133,106,-27,"-20.3%",0.004912280701754386,0.003943012312613919,-0.0009692683891404669,"-19.73%"
"public void org.elasticsearch.index.query.SimpleIndexQueryParserTests.testGeoDistanceFilter2() throws java.io.IOException",104,87,-17,"-16.35%",0.0038411819021237303,0.003236245954692557,-0.0006049359474311735,"-15.75%"
"public void org.elasticsearch.index.query.SimpleIndexQueryParserTests.testGeoDistanceFilter4() throws java.io.IOException",107,108,1,"0.93%",0.003951985226223453,0.004017408771342484,6.542354511903086e-05,"1.66%"
"public void org.elasticsearch.index.query.SimpleIndexQueryParserTests.testGeoDistanceFilter7() throws java.io.IOException",112,110,-2,"-1.79%",0.004136657433056325,0.004091805230071049,-4.4852202985276764e-05,"-1.08%"
"public void org.elasticsearch.index.query.SimpleIndexQueryParserTests.testGeoDistanceFilter6() throws java.io.IOException",117,123,6,"5.13%",0.004321329639889197,0.004575382211806718,0.0002540525719175214,"5.88%"
