Methods called,Number of times(Original),Number of times(Modified),Modified - Original,Percentage(Gain/Loss),Number of times(Original-Normalized),Number of times(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
"public static final boolean org.apache.lucene.util.LuceneTestCase.TEST_SLOW",1,1,0,"0.0%",4.4444444444444447e-05,4.742033383915023e-05,2.9758893947057826e-06,"6.7%"
"public static final java.lang.String org.apache.lucene.util.LuceneTestCase.TEST_CODEC",1,1,0,"0.0%",4.4444444444444447e-05,4.742033383915023e-05,2.9758893947057826e-06,"6.7%"
"randoop.operation.ArrayElementSet@29b3e50a",4,0,-4,"-INF%",0.00017777777777777779,0.0,-0.00017777777777777779,"-INF%"
"public void org.elasticsearch.index.analysis.KuromojiAnalysisTests.testReadingFormFilterFactory() throws java.io.IOException",273,252,-21,"-7.69%",0.012133333333333333,0.011949924127465858,-0.0001834092058674748,"-1.51%"
"org.apache.lucene.search.QueryCachingPolicy[][3]",8,0,-8,"-INF%",0.00035555555555555557,0.0,-0.00035555555555555557,"-INF%"
"org.apache.lucene.search.QueryCachingPolicy[][2]",16,1,-15,"-93.75%",0.0007111111111111111,4.742033383915023e-05,-0.000663690777271961,"-93.33%"
"public static void org.elasticsearch.test.ESTestCase.assertBusy(java.lang.Runnable|long|java.util.concurrent.TimeUnit) throws java.lang.Exception",29,29,0,"0.0%",0.001288888888888889,0.0013751896813353566,8.63007924464677e-05,"6.7%"
"public static void org.elasticsearch.test.ESTestCase.assertBusy(java.lang.Runnable) throws java.lang.Exception",1,1,0,"0.0%",4.4444444444444447e-05,4.742033383915023e-05,2.9758893947057826e-06,"6.7%"
"org.apache.lucene.search.QueryCachingPolicy[][1]",10,0,-10,"-INF%",0.00044444444444444447,0.0,-0.00044444444444444447,"-INF%"
"randoop.operation.UncheckedCast@2b92872d",1,0,-1,"-INF%",4.4444444444444447e-05,0.0,-4.4444444444444447e-05,"-INF%"
"org.apache.lucene.search.QueryCachingPolicy[][0]",16,1,-15,"-93.75%",0.0007111111111111111,4.742033383915023e-05,-0.000663690777271961,"-93.33%"
"org.apache.lucene.util.TestRuleIgnoreAfterMaxFailures[5]",25,0,-25,"-INF%",0.0011111111111111111,0.0,-0.0011111111111111111,"-INF%"
"org.elasticsearch.index.analysis.KuromojiAnalysisTests[4]",1,0,-1,"-INF%",4.4444444444444447e-05,0.0,-4.4444444444444447e-05,"-INF%"
"org.apache.lucene.util.TestRuleIgnoreAfterMaxFailures[6]",6,6,0,"0.0%",0.0002666666666666667,0.0002845220030349014,1.7855336368234696e-05,"6.7%"
"org.elasticsearch.index.analysis.KuromojiAnalysisTests[6]",1,0,-1,"-INF%",4.4444444444444447e-05,0.0,-4.4444444444444447e-05,"-INF%"
"randoop.operation.UncheckedCast@261f8edc",1,0,-1,"-INF%",4.4444444444444447e-05,0.0,-4.4444444444444447e-05,"-INF%"
"org.apache.lucene.util.TestRuleIgnoreAfterMaxFailures[1]",3,0,-3,"-INF%",0.00013333333333333334,0.0,-0.00013333333333333334,"-INF%"
"org.apache.lucene.util.TestRuleIgnoreAfterMaxFailures[2]",5,19,14,"280.0%",0.00022222222222222223,0.0009009863429438543,0.000678764120721632,"305.44%"
"org.apache.lucene.util.TestRuleIgnoreAfterMaxFailures[3]",4,115,111,"2775.0%",0.00017777777777777779,0.005453338391502276,0.005275560613724499,"2967.5%"
"org.apache.lucene.util.TestRuleIgnoreAfterMaxFailures[4]",1,4,3,"300.0%",4.4444444444444447e-05,0.00018968133535660092,0.00014523689091215647,"326.78%"
"public static int org.elasticsearch.test.ESTestCase.scaledRandomIntBetween(int|int)",224,203,-21,"-9.38%",0.009955555555555556,0.009626327769347496,-0.0003292277862080601,"-3.31%"
"org.junit.rules.RuleChain[][5]",6,6,0,"0.0%",0.0002666666666666667,0.0002845220030349014,1.7855336368234696e-05,"6.7%"
"public static final java.lang.String org.apache.lucene.util.LuceneTestCase.JENKINS_LARGE_LINE_DOCS_FILE",1,1,0,"0.0%",4.4444444444444447e-05,4.742033383915023e-05,2.9758893947057826e-06,"6.7%"
"public static final boolean org.apache.lucene.util.LuceneTestCase.TEST_WEEKLY",1,1,0,"0.0%",4.4444444444444447e-05,4.742033383915023e-05,2.9758893947057826e-06,"6.7%"
"org.junit.rules.RuleChain[][3]",40,2,-38,"-95.0%",0.0017777777777777779,9.484066767830046e-05,-0.0016829371100994775,"-94.67%"
"org.junit.rules.RuleChain[][1]",1,0,-1,"-INF%",4.4444444444444447e-05,0.0,-4.4444444444444447e-05,"-INF%"
"public static org.apache.lucene.index.AlcoholicMergePolicy org.apache.lucene.util.LuceneTestCase.newAlcoholicMergePolicy(java.util.Random|java.util.TimeZone)",1,1,0,"0.0%",4.4444444444444447e-05,4.742033383915023e-05,2.9758893947057826e-06,"6.7%"
"public static org.apache.lucene.index.AlcoholicMergePolicy org.apache.lucene.util.LuceneTestCase.newAlcoholicMergePolicy()",1,1,0,"0.0%",4.4444444444444447e-05,4.742033383915023e-05,2.9758893947057826e-06,"6.7%"
"org.junit.rules.RuleChain[][0]",5,80,75,"1500.0%",0.00022222222222222223,0.0037936267071320183,0.003571404484909796,"1607.13%"
"randoop.operation.UncheckedCast@6459a096",1,0,-1,"-INF%",4.4444444444444447e-05,0.0,-4.4444444444444447e-05,"-INF%"
"public static final java.lang.String org.apache.lucene.util.LuceneTestCase.SYSPROP_FAILFAST",1,1,0,"0.0%",4.4444444444444447e-05,4.742033383915023e-05,2.9758893947057826e-06,"6.7%"
"java.lang.String[][][][][6]",1,0,-1,"-INF%",4.4444444444444447e-05,0.0,-4.4444444444444447e-05,"-INF%"
"org.elasticsearch.index.analysis.KuromojiAnalysisTests[0]",2,0,-2,"-INF%",8.888888888888889e-05,0.0,-8.888888888888889e-05,"-INF%"
"java.lang.String[][][][][0]",26,2,-24,"-92.31%",0.0011555555555555555,9.484066767830046e-05,-0.0010607148878772552,"-91.79%"
"public static void org.apache.lucene.util.LuceneTestCase.restoreCPUCoreCount()",1,1,0,"0.0%",4.4444444444444447e-05,4.742033383915023e-05,2.9758893947057826e-06,"6.7%"
"org.elasticsearch.index.analysis.KuromojiAnalysisTests[1]",4,3,-1,"-25.0%",0.00017777777777777779,0.0001422610015174507,-3.55167762603271e-05,"-19.98%"
"java.lang.String[][][][][2]",10,0,-10,"-INF%",0.00044444444444444447,0.0,-0.00044444444444444447,"-INF%"
"public static org.apache.lucene.index.MergePolicy org.apache.lucene.util.LuceneTestCase.newLogMergePolicy(boolean|int)",48,48,0,"0.0%",0.0021333333333333334,0.002276176024279211,0.00014284269094587757,"6.7%"
"public static org.apache.lucene.index.LogMergePolicy org.apache.lucene.util.LuceneTestCase.newLogMergePolicy()",1,1,0,"0.0%",4.4444444444444447e-05,4.742033383915023e-05,2.9758893947057826e-06,"6.7%"
"public static org.apache.lucene.index.LogMergePolicy org.apache.lucene.util.LuceneTestCase.newLogMergePolicy(java.util.Random)",1,1,0,"0.0%",4.4444444444444447e-05,4.742033383915023e-05,2.9758893947057826e-06,"6.7%"
"public static org.apache.lucene.index.MergePolicy org.apache.lucene.util.LuceneTestCase.newLogMergePolicy(boolean)",2,2,0,"0.0%",8.888888888888889e-05,9.484066767830046e-05,5.951778789411565e-06,"6.7%"
"public static org.apache.lucene.index.MergePolicy org.apache.lucene.util.LuceneTestCase.newLogMergePolicy(int)",24,24,0,"0.0%",0.0010666666666666667,0.0011380880121396055,7.142134547293878e-05,"6.7%"
"org.elasticsearch.index.analysis.KuromojiAnalysisTests[3]",36,0,-36,"-INF%",0.0016,0.0,-0.0016,"-INF%"
"java.lang.String[][][][][3]",2,0,-2,"-INF%",8.888888888888889e-05,0.0,-8.888888888888889e-05,"-INF%"
"public static boolean org.elasticsearch.test.ESTestCase.randomBoolean()",1,1,0,"0.0%",4.4444444444444447e-05,4.742033383915023e-05,2.9758893947057826e-06,"6.7%"
"public static int org.apache.lucene.util.LuceneTestCase.atLeast(java.util.Random|int)",24,24,0,"0.0%",0.0010666666666666667,0.0011380880121396055,7.142134547293878e-05,"6.7%"
"public static int org.apache.lucene.util.LuceneTestCase.atLeast(int)",24,24,0,"0.0%",0.0010666666666666667,0.0011380880121396055,7.142134547293878e-05,"6.7%"
"public static java.lang.String org.elasticsearch.test.ESTestCase.randomUnicodeOfLengthBetween(int|int)",197,188,-9,"-4.57%",0.008755555555555556,0.008915022761760243,0.00015946720620468695,"1.82%"
"org.junit.rules.RuleChain[][][1]",6,0,-6,"-INF%",0.0002666666666666667,0.0,-0.0002666666666666667,"-INF%"
"org.junit.rules.RuleChain[][][0]",20,3,-17,"-85.0%",0.0008888888888888889,0.0001422610015174507,-0.0007466278873714382,"-84.0%"
"java.util.Locale[0]",1,0,-1,"-INF%",4.4444444444444447e-05,0.0,-4.4444444444444447e-05,"-INF%"
"org.junit.rules.RuleChain[][][5]",7,0,-7,"-INF%",0.0003111111111111111,0.0,-0.0003111111111111111,"-INF%"
"java.util.Locale[1]",2,8,6,"300.0%",8.888888888888889e-05,0.00037936267071320183,0.00029047378182431294,"326.78%"
"java.util.Locale[2]",3,4,1,"33.33%",0.00013333333333333334,0.00018968133535660092,5.634800202326758e-05,"42.26%"
