Classes of objects created,Number of objects created(Original),Number of objects created(Modified),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original),Number of unique objects manipulated(Modified),Modified - Original,Percentage(Gain/Loss),Number of objects created(Original-Normalized),Number of objects created(Modified-Normalized),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original-Normalized),Number of unique objects manipulated(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
class org.junit.rules.RuleChain,15485,34130,18645,"120.41%",13265,29611,16346,"123.23%",0.6341892943441045,1.51742841899342,0.8832391246493154,"139.27%",0.5432690338698448,1.3165125377912146,0.7732435039213698,"142.33%"
class [[S,8,77,69,"862.5%",8,7,-1,"-12.5%",0.0003276405782856207,0.003423439445136048,0.0030957988668504277,"944.88%",0.0003276405782856207,0.0003112217677396408,-1.641881054597992e-05,"-5.01%"
class [[[[Ljava.lang.reflect.Type;,2,1,-1,"-50.0%",2,1,-1,"-50.0%",8.191014457140517e-05,4.4460252534234394e-05,-3.744989203717078e-05,"-45.72%",8.191014457140517e-05,4.4460252534234394e-05,-3.744989203717078e-05,"-45.72%"
class java.util.ArrayList,1,0,-1,"-INF%",1,0,-1,"-INF%",4.095507228570259e-05,0.0,-4.095507228570259e-05,"-INF%",4.095507228570259e-05,0.0,-4.095507228570259e-05,"-INF%"
class [[Lorg.elasticsearch.index.analysis.KuromojiAnalysisTests;,68,14,-54,"-79.41%",4,3,-1,"-25.0%",0.002784944915427776,0.0006224435354792816,-0.0021625013799484944,"-77.65%",0.00016382028914281035,0.00013338075760270317,-3.0439531540107174e-05,"-18.58%"
class [[[Lorg.apache.lucene.util.TestRuleIgnoreAfterMaxFailures;,7,0,-7,"-INF%",4,0,-4,"-INF%",0.0002866855059999181,0.0,-0.0002866855059999181,"-INF%",0.00016382028914281035,0.0,-0.00016382028914281035,"-INF%"
class [[[[[[Lorg.apache.lucene.store.MockDirectoryWrapper$Throttling;,1,0,-1,"-INF%",1,0,-1,"-INF%",4.095507228570259e-05,0.0,-4.095507228570259e-05,"-INF%",4.095507228570259e-05,0.0,-4.095507228570259e-05,"-INF%"
class [[B,55,73,18,"32.73%",14,6,-8,"-57.14%",0.002252528975713642,0.0032455984349991107,0.0009930694592854687,"44.09%",0.0005733710119998362,0.00026676151520540635,-0.0003066094967944298,"-53.47%"
class [Ljava.util.Set;,46,204,158,"343.48%",3,5,2,"66.67%",0.0018839333251423188,0.009069891516983817,0.0071859581918414985,"381.43%",0.00012286521685710776,0.00022230126267117198,9.943604581406421e-05,"80.93%"
class java.lang.Integer,1,1,0,"0.0%",1,1,0,"0.0%",4.095507228570259e-05,4.4460252534234394e-05,3.5051802485318065e-06,"8.56%",4.095507228570259e-05,4.4460252534234394e-05,3.5051802485318065e-06,"8.56%"
class [[[[Lorg.apache.lucene.store.MockDirectoryWrapper$Throttling;,33,1,-32,"-96.97%",3,1,-2,"-66.67%",0.0013515173854281852,4.4460252534234394e-05,-0.0013070571328939508,"-96.71%",0.00012286521685710776,4.4460252534234394e-05,-7.840496432287336e-05,"-63.81%"
class [[[[[Ljava.util.concurrent.ExecutorService;,24,3,-21,"-87.5%",3,1,-2,"-66.67%",0.000982921734856862,0.00013338075760270317,-0.0008495409772541589,"-86.43%",0.00012286521685710776,4.4460252534234394e-05,-7.840496432287336e-05,"-63.81%"
class [D,2215,6262,4047,"182.71%",41,45,4,"9.76%",0.09071548511283123,0.2784101013693758,0.18769461625654454,"206.9%",0.001679157963713806,0.0020007113640405478,0.00032155340032674184,"19.15%"
class [[[[J,19,2,-17,"-89.47%",6,2,-4,"-66.67%",0.0007781463734283491,8.892050506846879e-05,-0.0006892258683598803,"-88.57%",0.0002457304337142155,8.892050506846879e-05,-0.00015680992864574672,"-63.81%"
class [Lorg.apache.lucene.util.TestRuleIgnoreAfterMaxFailures;,78,81,3,"3.85%",6,5,-1,"-16.67%",0.0031944956382848016,0.003601280455272986,0.00040678481698818445,"12.73%",0.0002457304337142155,0.00022230126267117198,-2.3429171043043548e-05,"-9.53%"
class [[[Ljava.lang.Class;,4,2,-2,"-50.0%",2,2,0,"0.0%",0.00016382028914281035,8.892050506846879e-05,-7.489978407434156e-05,"-45.72%",8.191014457140517e-05,8.892050506846879e-05,7.010360497063613e-06,"8.56%"
